Año,SEXO,LinkedIn,Diplomado_1,Diplomado_2,Especialización_1,Especialización_2,Maestría_1,Maestría_2,Doctorado,Docencia_2,Docencia_3,Administrativo_1,Administrativo_2,Administrativo_3,Director_1,Director_2,Director_3,Consultor_1,Consultor_2,Coordinador_1,Coordinador_2,Coordinador_3,Coach,Lider,Supervisor,M+TT(Años),M-TT(Años),TD,TA,TDir,TC,TCoor,TCoa,TLi,TSup,#_De_Empresas
2001,M,SI,Ninguno,Ninguno,Gestión de Calidad,Gerencia de Sistemas de Información,Ingenieria Industrial,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Gestión de Calidad,Procesos Academicos,Producción,NO,NO,NO,NO,NO,NO,NO,NO,5.08,0,0,0,5.08,0,0,0,0,0,3
2004,M,SI,Gestión del Riesgo,Analitica de Datos,Finanzas,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Auxiliar Administrativo,Subdirector,Administrador,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,8.16,1.5,0,15.83,0,0,0,0,0,0,7
2002,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ingenieria Industrial,Ninguna,Gestión y Desarrollo Tecnologico,Universidad del Magdalena,Ninguna,Administrador,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,17,1.32,17,0,0,0,0,0,0,0,8
2001,F,SI,Ninguno,Ninguno,Gestión de Proyectos,Gestión de Proyectos de Tecnólogia de la Información,Logística,Ninguna,Ninguna,Ninguna,Ninguna,Scrum Master,NO,NO,NO,NO,NO,Negocios,SAP,Gerente de Proyectos,NO,NO,NO,Metadata,NO,8.83,3.16,0,0,0,8.83,3.5,0,3.16,0,8
2005,F,SI,Ninguno,Ninguno,Gerencia de Procesos y Calidad,Ninguna,Analitica para la Inteligencia de Negocios,Ninguna,Ninguna,Ninguna,Ninguna,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12.16,0,0,12.16,0,0,0,0,0,0,1
2001,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Administrador,Auxiliar de Costos,Analista de Operaciones,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,9,1.75,0,9,0,1.75,0,0,0,0,7
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración de Empresas,Ninguna,Ciencias de la Admnistración,Fundación Universitaria Corporación Comfenalco,Ninguna,Analista de Procesos,Jefe de Sistemas Integrados,Fundación Universitaria del Area Andina,Consultoria,NO,NO,Empresarial,NO,NO,NO,NO,NO,Seguimiento y Evaluación,NO,10.16,1,8.5,3.5,1,5.33,0,0,10.16,0,10
2001,M,SI,Ninguno,Ninguno,Salud Ocupacional,Salud y cuidado ocupacional de calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Salud Ocupacional,NO,NO,NO,NO,NO,Salud Ocupacional,NO,Salud Ocupacional,NO,NO,NO,NO,NO,5,2.67,5,3.32,2.67,0,0,0,0,0,3
2004,M,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asesor de Calidad,Asesor de Productividad,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,Producción,16.83,0.5,0,4,16.83,0,1.5,0,0,0.5,11
2002,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Administrador,Gestor de Compras,Contratación,NO,NO,NO,NO,NO,Comercial,NO,NO,NO,NO,NO,10,0.4,0,10,0,0,0.4,0,0,0,3
2001,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Auxiliar Administrativo,Promotora Tarjetas de Crédito,NO,Gestión de Calidad,NO,NO,NO,NO,Gestión de Calidad,NO,NO,Comercial,Calidad,NO,4.42,1,0,1,1.67,0,4.42,1.82,1.08,0,6
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Servicio al Cliente,Administrador de Obra,Jefe de Servicio,Gestión de Proyectos,Programación,NO,Finanzas,NO,De Obras,NO,NO,NO,NO,NO,6,1,0,6,5,2.5,1,0,0,0,7
2004,M,SI,Programación de Computadoras,Control Interno,Data Science,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente de Auditoria,Analista de Datos,AI Enginer,NO,NO,NO,NO,NO,Auditoria,NO,NO,NO,Data,NO,12.25,1.5,0,12.25,0,0,1.5,0,2.18,0,9
2000,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Administrador,NO,NO,Gestión y planeación,NO,NO,NO,NO,NO,NO,NO,NO,Planeación,NO,8.16,1.5,0,8.16,0,0,0,0,1.5,0,7
2007,M,SI,Ninguno,Ninguno,Gerencia y Control de Riesgos,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gestión de Calidad,NO,NO,NO,NO,NO,Empresarial,NO,Gestión de Calidad,NO,NO,NO,NO,NO,6,1,0,6,0,5.33,1,0,0,0,4
2006,M,SI,Ninguno,Ninguno,Administración de Negocios,Finanzas,Alta Gerencia,Ninguna,Ninguna,Ninguna,Ninguna,Gerente Financiero,NO,NO,NO,Consultor General,NO,NO,NO,NO,NO,NO,NO,NO,NO,7,3.08,0,7,0,3.08,0,0,0,0,4
2006,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente Administrativo,NO,NO,NO,NO,NO,NO,NO,Laboratorio,NO,NO,NO,NO,NO,10.5,7.83,10.5,10,0,0,7.83,0,0,0,3
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Proyectos de innovación e ingeniería,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,Salud Ocupacional,NO,NO,NO,NO,NO,NO,NO,11.5,2.58,11.5,0,0,2.58,0,0,0,0,4
1999,M,SI,Ninguno,Ninguno,Innovación y Gestión de Ciudades,Derecho de los Negocios,Ingenieria Industrial,Ninguna,Ninguna,Univerisidad Simón Bolivar,Universidad Libre,Scrum Master,Gerente de Proyectos,Gerente de Operaciones,Proyectos y Asesoria,NO,NO,Negocios,NO,NO,NO,NO,NO,NO,NO,8.16,3,7.16,3,8.16,0,0,0,0,0,12
2000,M,SI,Ninguno,Ninguno,Contabilidad Finanzas y Fiscalidad,Ninguna,Dirección y Gestión de Planes,Integración y Comercio Internacional,Ninguna,Ninguna,Ninguna,Asistente en Dirección Estrategica,Asistente Administrativo Contable,Asesor Comercial,NO,NO,NO,Talento Humano,NO,Gestión de Calidad,NO,NO,NO,NO,NO,9.21,7.2,0,9.21,0,7.2,0,0,0,0,15
2003,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración de Empresas e Innovación,Ninguna,Ninguna,Corporación Cientech,Ninguna,Asesor Externo,Jefe de Proyectos,NO,Ejecutivo,NO,NO,NO,NO,Gestión de la Innovación,NO,NO,NO,NO,NO,15.5,2.16,15.5,4.16,7.5,0,2.16,0,0,0,10
2004,M,SI,Tomas de Decisiones Eticas en la Organización,Ninguno,Administración y Gestión de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Planeación de Operaciones,Jefe Comercial,Gerente de Proyectos,Logística ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,16,4,0,10.83,16,0,0,0,0,0,5
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Planeación de Operaciones,NO,NO,Planeación y Control de Operaciones,NO,NO,NO,NO,Servicios Operativos,NO,NO,NO,NO,Operaciones,5,1.25,0,5,1.25,0,1.5,0,0,4.5,7
