DEPARTAMENTO,MUNICIPIO,FECHA,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,HECTAREAS,RECURSOS_EJECUTADOS,VALOR_KIT_DE_ALIMENTO,VALOR_MATERIALES_DE_CONSTRUCCION,VALORES_MATERIALES_DE_CONSTRUCCION
ANTIOQUIA,INIRIDA,01/05/19,ACCIDENTE TRANSPORTE MARITIMO O FLUVIAL,1,0,1,0,0,0,0,0,0
ANTIOQUIA,SOACHA,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,PAIME,01/05/19,VENDAVAL,0,0,2,0,0,0,0,0,0
ANTIOQUIA,PEREIRA,01/06/19,VENDAVAL,0,0,55,0,0,0,0,0,0
ANTIOQUIA,DOSQUEBRADAS,01/06/19,VENDAVAL,0,0,12,0,0,0,0,0,0
ANTIOQUIA,GIRON,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6,0,0,0,0
ANTIOQUIA,BUGALAGRANDE,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,TRINIDAD,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,CAQUEZA,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,SANTA MARTA,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,PATIA,01/08/19,ACCIDENTE TRANSPORTE TERRESTRE,0,15,0,0,0,0,0,0,0
ANTIOQUIA,PUERTO GAITAN,01/08/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ZONA BANANERA,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,BARRANCAS,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,GUADALAJARA DE BUGA,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,VALLEDUPAR,01/08/19,MOVIMIENTO EN MASA,0,0,0,0,0,0,0,0,0
ANTIOQUIA,BUENAVENTURA,01/08/19,INUNDACION,1,0,0,0,0,0,0,0,0
ANTIOQUIA,VILLAVICENCIO,01/08/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,CALI,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,GUATEQUE,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,TURMEQUE,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,ARACATACA,01/07/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,RIOHACHA,01/07/19,INCENDIO ESTRUCTURAL,0,0,1,0,0,0,0,0,0
ANTIOQUIA,SOACHA,01/08/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10,0,0,0,0
ANTIOQUIA,CALIFORNIA,01/09/19,ACCIDENTE TRANSPORTE TERRESTRE,2,0,0,0,0,0,0,0,0
ANTIOQUIA,LANDAZURI,01/09/19,MOVIMIENTO EN MASA,0,0,0,0,0,0,0,0,0
ANTIOQUIA,BARBOSA,01/08/19,ACCIDENTE TRANSPORTE TERRESTRE,0,11,0,0,0,0,0,0,0
ANTIOQUIA,APARTADO,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6,0,0,0,0
ANTIOQUIA,ITAGUI,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,SAN DIEGO,01/08/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30,0,0,0,0
ANTIOQUIA,LURUACO,01/09/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
